EpRewMean,EpThisIter,meankl,entloss,TimestepsSoFar,ev_tdlam_before,EpisodesSoFar,entropy,optimgain,EpLenMean,TimeElapsed,surrgain
387.0609434308313,33,0.0064052916,0.0,4892,0.9898960059508681,33,3.9604683,0.0220245,148.24242424242425,2.9117941856384277,0.0220245
401.40939554818243,33,0.0052992683,0.0,9912,0.9763646069914103,66,3.9605925,0.029124942,151.125,5.5017945766448975,0.029124942
408.7259063961769,33,0.0055805873,0.0,14903,0.9868789948523045,99,3.931172,0.024945147,150.9,8.177138805389404,0.024945147
430.897807414417,31,0.0057054237,0.0,19875,0.9688958544284105,130,3.8926027,0.026427325,157.925,10.818248748779297,0.026427325
447.2763144160484,32,0.007141565,0.0,24989,0.9800469074398279,162,3.8510547,0.027479865,161.55,13.472088813781738,0.027479865
450.33025223454007,30,0.006998012,0.0,29995,0.9527731314301491,192,3.83335,0.026712244,162.625,16.003815412521362,0.026712244
529.7474809003965,26,0.0061870287,0.0,34892,0.9530074782669544,218,3.8244839,0.02602143,182.05,18.685121536254883,0.02602143
591.2821791191117,24,0.005728603,0.0,39824,0.9513070620596409,242,3.8166258,0.027426593,199.725,21.331947565078735,0.027426593
628.0753620527561,23,0.0060376856,0.0,44916,0.9581760913133621,265,3.797337,0.026872214,214.425,23.86947989463806,0.026872214
738.3095579152343,16,0.005293841,0.0,49781,0.9182009324431419,281,3.783547,0.024571635,254.35,26.52256202697754,0.024571635
789.9575966622455,21,0.005333673,0.0,54985,0.9629632383584976,302,3.7744074,0.026093863,268.85,29.139005422592163,0.026093863
779.4316145011096,18,0.0052406555,0.0,59930,0.9533490687608719,320,3.7596807,0.024527457,263.2,31.72809934616089,0.024527457
828.8909999810072,17,0.00545355,0.0,64854,0.9605808891355991,337,3.7271879,0.022993809,279.675,34.30044460296631,0.022993809
848.3298889512196,17,0.0060891863,0.0,69847,0.9252664744853973,354,3.7305741,0.022697924,287.9,36.92817735671997,0.022697924
918.337155920843,16,0.005666679,0.0,74993,0.9734305161982775,370,3.736221,0.027101086,307.9,39.54890990257263,0.027101086
960.4804074270472,14,0.006095503,0.0,79615,0.9777689781039953,384,3.7175276,0.027009834,323.2,42.141629219055176,0.027009834
1010.2320996159891,14,0.004430095,0.0,84828,0.9376811161637306,398,3.7119207,0.0231778,340.625,44.753360986709595,0.0231778
1022.0580769437244,14,0.0056854635,0.0,89660,0.9554539956152439,412,3.700109,0.02381878,349.225,47.39288687705994,0.02381878
1120.9767471034606,11,0.005455053,0.0,94719,0.9719200246036053,423,3.680557,0.025099557,383.65,49.981791734695435,0.025099557
1176.8667911694513,11,0.0048909034,0.0,99757,0.9340402260422707,434,3.6821551,0.022382952,403.6,52.528820514678955,0.022382952
1258.3122120477474,11,0.005979847,0.0,104927,0.9492698907852173,445,3.6830034,0.026268894,430.7,55.17875647544861,0.026268894
